START_ID,END_ID,volume,year
0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,458166b3-de17-4bf3-bbbb-e53782de2f0f,1,2019
4c6e31458b0b44c1e8bd6e58f7d7e0767f7fde44,c6840156-ee10-4d78-8832-7f8909811576,33,2021
3569c79cf90b203325dd7b8f6c30bacc60f5d30e,7a7dc89b-e1a6-44df-a496-46c330a87840,2,2021
4ce46acc4a40038b02014c1bbce3e451586ebe05,6076bd95-0124-4b5d-8346-476b7287818c,1,2022
0b1d429110757c1a9deb27fb8568740182dc1679,41dbb273-8d18-4a45-8154-852882a37b34,21,2020
0b5b33b7ea1dc12f3e9252ac1852170a6a6775bf,099483df-e8f2-4bee-805d-8a69f07b6cbf,16,2019
ede0a8039a561905f40777ec2ae66c2010e3f2bc,d60da343-ab92-4310-b3d7-2c0860287a9d,7,2020
2968bab109c9a1660260126a07da1af4140eb6ae,82cd90f0-386f-4446-b237-6404c27f6a15,902,2021
0751d2fa3a54cbbb4d594f2ee47c3aa7e4003a24,3c27e831-750f-45bc-9914-2148a5259eba,1,2020
8bba999de25bfb288b3f7f88e1d907aab02638b6,f458795b-af97-4b7c-ba4e-d57bbb57f90a,120,2020
82620503cacf8ff6f8f3490e7bdf7508f1ab2021,7fac555d-41ef-410c-9c84-ed584a9cff7f,23,2020
12f62537251cf8eb76fa11c59df68d2211008898,79af09a2-54e8-4f97-8edf-9fba208ab744,13,2020
deb4e0c46f2e389ec5e4528f9dcee643bb6a15fa,1f6f3f05-6a23-42f0-8d31-98ab8089c1f2,69,2020
0669286d8d4ca8ec2fdf16b7813157c21eb690be,62924b2a-8fb8-4b93-92c6-735516b49af0,8,2020
4b5505a54799d796ae94115409b01ee33a7e2b20,27475f31-a1d2-401b-84ad-9b405c7609a8,74,2020
b017bf6879e57077b4b4e180a02747b89878d7a1,961301b0-6f5a-44a6-9216-54b673cded78,29,2020
c016852106ac787678105fd9dd22e57ba620517c,17bac89e-3dba-467a-b9d4-71e3baefb08b,1,2020
b85ac20631159ca3e370afa9c1f81a4618242b4f,8b172637-3435-4dd3-a753-5035b814ff39,74,2020
e2055b85dab66c922ccf25a28046e8e559074824,aa746a02-d187-42c2-bdf9-df6a5d4e648c,62,2019
89f41c87c8849ce37e609c1010087291a4679a37,92d34d37-5c4b-4e11-b461-9041b7de4c2d,374,2019
f9e0e85732f0736c0d5a6f0c63df5c7f1f245dcd,70337d1b-fdf7-4fcb-b391-e096feba3748,16,2018
678da221aa156807bc2c191ed5f4bcbb0b25d421,09bb329a-45bc-4561-860f-c8ac0e958895,1,2019
129a5609d4b00ae86f583ffbc1b3680234601b46,2baad992-2268-4c38-9120-e453622f2eeb,21,2019
0c86e8d19d0fc62a5f829ea625ffd3e7fa9551b9,55511511-6974-4037-92a4-aec79ba003fe,15,2019
5c8b7127ad0b5257f81ce1aa70b89faa97bbc211,c0ded351-0e49-473e-816e-23b84c9f8dd3,1,2019
e564e3656395782d0ab9f801bfbe9f9f1a5d34a7,d949c7f0-1213-4a16-a6ab-134862369b91,51,2019
590ead4aeddbf8fea8414998b2dc3b74576a71cb,ed4bb98c-600b-477e-9e9a-653127045ec0,32,2018
005cb0304960c5249579f3aa39a47e2cb164c0b6,41dbb273-8d18-4a45-8154-852882a37b34,20,2019
e799d31e1c2d80a971c1f956d62b98c0a9f27031,bf228014-e6ea-4397-96c9-3fd22beb2f75,50,2019
